窗口 1
轨迹 1
通道 1
参数 S11
扫描类型 线性扫描
起始频率 8.00000GHz
终止频率 12.4000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
8.000e+009    -9.990074e-001    -6.877188e-003 
8.022e+009    -9.991098e-001    -7.004887e-003 
8.044e+009    -9.991911e-001    -7.118724e-003 
8.066e+009    -9.992491e-001    -7.242980e-003 
8.088e+009    -9.992735e-001    -7.382927e-003 
8.110e+009    -9.992959e-001    -7.535705e-003 
8.132e+009    -9.993265e-001    -7.694134e-003 
8.154e+009    -9.993606e-001    -7.819878e-003 
8.176e+009    -9.993756e-001    -7.929595e-003 
8.198e+009    -9.993447e-001    -8.034923e-003 
8.220e+009    -9.992827e-001    -8.156005e-003 
8.242e+009    -9.992162e-001    -8.269412e-003 
8.264e+009    -9.991328e-001    -8.366980e-003 
8.286e+009    -9.990367e-001    -8.471590e-003 
8.308e+009    -9.989406e-001    -8.572051e-003 
8.330e+009    -9.988467e-001    -8.648926e-003 
8.352e+009    -9.987321e-001    -8.717163e-003 
8.374e+009    -9.985847e-001    -8.770814e-003 
8.396e+009    -9.984053e-001    -8.843776e-003 
8.418e+009    -9.982582e-001    -8.930996e-003 
8.440e+009    -9.981276e-001    -9.020263e-003 
8.462e+009    -9.980173e-001    -9.106976e-003 
8.484e+009    -9.979042e-001    -9.167080e-003 
8.506e+009    -9.977943e-001    -9.239243e-003 
8.528e+009    -9.976720e-001    -9.309941e-003 
8.550e+009    -9.975370e-001    -9.398536e-003 
8.572e+009    -9.974269e-001    -9.538734e-003 
8.594e+009    -9.973677e-001    -9.679243e-003 
8.616e+009    -9.973534e-001    -9.819194e-003 
8.638e+009    -9.973322e-001    -9.950455e-003 
8.660e+009    -9.973072e-001    -1.011565e-002 
8.682e+009    -9.973095e-001    -1.032933e-002 
8.704e+009    -9.973462e-001    -1.053841e-002 
8.726e+009    -9.973529e-001    -1.076506e-002 
8.748e+009    -9.973548e-001    -1.104027e-002 
8.770e+009    -9.973875e-001    -1.133341e-002 
8.792e+009    -9.974723e-001    -1.162350e-002 
8.814e+009    -9.975617e-001    -1.190020e-002 
8.836e+009    -9.976103e-001    -1.220775e-002 
8.858e+009    -9.976422e-001    -1.256123e-002 
8.880e+009    -9.976744e-001    -1.295156e-002 
8.902e+009    -9.976623e-001    -1.336336e-002 
8.924e+009    -9.976409e-001    -1.381651e-002 
8.946e+009    -9.976646e-001    -1.428225e-002 
8.968e+009    -9.976917e-001    -1.471044e-002 
8.990e+009    -9.976148e-001    -1.515187e-002 
9.012e+009    -9.974341e-001    -1.566444e-002 
9.034e+009    -9.972977e-001    -1.627494e-002 
9.056e+009    -9.971870e-001    -1.688181e-002 
9.078e+009    -9.970680e-001    -1.745322e-002 
9.100e+009    -9.968476e-001    -1.805106e-002 
9.122e+009    -9.965260e-001    -1.873804e-002 
9.144e+009    -9.962202e-001    -1.943866e-002 
9.166e+009    -9.958184e-001    -2.012123e-002 
9.188e+009    -9.952983e-001    -2.087103e-002 
9.210e+009    -9.948400e-001    -2.174824e-002 
9.232e+009    -9.943498e-001    -2.266740e-002 
9.254e+009    -9.938966e-001    -2.354249e-002 
9.276e+009    -9.933678e-001    -2.440428e-002 
9.298e+009    -9.926147e-001    -2.543940e-002 
9.320e+009    -9.919539e-001    -2.652438e-002 
9.342e+009    -9.913306e-001    -2.760798e-002 
9.364e+009    -9.906291e-001    -2.873930e-002 
9.386e+009    -9.899487e-001    -2.988437e-002 
9.408e+009    -9.893290e-001    -3.112901e-002 
9.430e+009    -9.887575e-001    -3.240245e-002 
9.452e+009    -9.880749e-001    -3.380531e-002 
9.474e+009    -9.873764e-001    -3.540710e-002 
9.496e+009    -9.867170e-001    -3.705076e-002 
9.518e+009    -9.860576e-001    -3.871885e-002 
9.540e+009    -9.853737e-001    -4.049135e-002 
9.562e+009    -9.847076e-001    -4.254548e-002 
9.584e+009    -9.841249e-001    -4.474736e-002 
9.606e+009    -9.835006e-001    -4.696048e-002 
9.628e+009    -9.826216e-001    -4.939684e-002 
9.650e+009    -9.815551e-001    -5.238487e-002 
9.672e+009    -9.807327e-001    -5.583860e-002 
9.694e+009    -9.798366e-001    -5.937520e-002 
9.716e+009    -9.784916e-001    -6.312669e-002 
9.738e+009    -9.768061e-001    -6.732289e-002 
9.760e+009    -9.749172e-001    -7.220131e-002 
9.782e+009    -9.726612e-001    -7.779914e-002 
9.804e+009    -9.697689e-001    -8.409292e-002 
9.826e+009    -9.666510e-001    -9.138773e-002 
9.848e+009    -9.633557e-001    -9.982333e-002 
9.870e+009    -9.590251e-001    -1.092110e-001 
9.892e+009    -9.531650e-001    -1.194046e-001 
9.914e+009    -9.449845e-001    -1.307807e-001 
9.936e+009    -9.342198e-001    -1.435246e-001 
9.958e+009    -9.198570e-001    -1.571558e-001 
9.980e+009    -9.005373e-001    -1.713497e-001 
1.000e+010    -8.751273e-001    -1.847790e-001 
1.002e+010    -8.411279e-001    -1.949769e-001 
1.005e+010    -7.976899e-001    -1.969523e-001 
1.007e+010    -7.472222e-001    -1.840673e-001 
1.009e+010    -6.981312e-001    -1.509095e-001 
1.011e+010    -6.630788e-001    -9.861747e-002 
1.013e+010    -6.536158e-001    -3.790290e-002 
1.016e+010    -6.694893e-001    1.697836e-002 
1.018e+010    -7.003100e-001    5.744080e-002 
1.020e+010    -7.345291e-001    8.284563e-002 
1.022e+010    -7.668669e-001    9.669975e-002 
1.024e+010    -7.951531e-001    1.020016e-001 
1.027e+010    -8.184992e-001    1.022367e-001 
1.029e+010    -8.389296e-001    9.945347e-002 
1.031e+010    -8.569771e-001    9.517071e-002 
1.033e+010    -8.725051e-001    8.996865e-002 
1.035e+010    -8.858212e-001    8.467951e-002 
1.038e+010    -8.967809e-001    7.956253e-002 
1.040e+010    -9.063057e-001    7.460400e-002 
1.042e+010    -9.145771e-001    6.983133e-002 
1.044e+010    -9.218597e-001    6.542612e-002 
1.046e+010    -9.282269e-001    6.131789e-002 
1.049e+010    -9.338527e-001    5.764311e-002 
1.051e+010    -9.388859e-001    5.422780e-002 
1.053e+010    -9.431370e-001    5.115217e-002 
1.055e+010    -9.465975e-001    4.824347e-002 
1.057e+010    -9.496539e-001    4.542205e-002 
1.060e+010    -9.522688e-001    4.289541e-002 
1.062e+010    -9.546709e-001    4.062168e-002 
1.064e+010    -9.568985e-001    3.853041e-002 
1.066e+010    -9.589777e-001    3.662906e-002 
1.068e+010    -9.608335e-001    3.487480e-002 
1.071e+010    -9.624764e-001    3.324578e-002 
1.073e+010    -9.638572e-001    3.170879e-002 
1.075e+010    -9.651155e-001    3.035653e-002 
1.077e+010    -9.663188e-001    2.913182e-002 
1.079e+010    -9.674206e-001    2.794800e-002 
1.082e+010    -9.683893e-001    2.688911e-002 
1.084e+010    -9.693060e-001    2.591214e-002 
1.086e+010    -9.700803e-001    2.497108e-002 
1.088e+010    -9.708828e-001    2.400505e-002 
1.090e+010    -9.716484e-001    2.315473e-002 
1.093e+010    -9.723048e-001    2.242810e-002 
1.095e+010    -9.729612e-001    2.181498e-002 
1.097e+010    -9.735557e-001    2.124300e-002 
1.099e+010    -9.741560e-001    2.071498e-002 
1.101e+010    -9.747449e-001    2.028038e-002 
1.104e+010    -9.752629e-001    1.990706e-002 
1.106e+010    -9.757439e-001    1.953909e-002 
1.108e+010    -9.762459e-001    1.920003e-002 
1.110e+010    -9.767087e-001    1.893752e-002 
1.112e+010    -9.772436e-001    1.868498e-002 
1.115e+010    -9.778017e-001    1.849166e-002 
1.117e+010    -9.783381e-001    1.827078e-002 
1.119e+010    -9.789238e-001    1.811712e-002 
1.121e+010    -9.794637e-001    1.798119e-002 
1.123e+010    -9.799262e-001    1.783807e-002 
1.126e+010    -9.804037e-001    1.769087e-002 
1.128e+010    -9.814670e-001    1.755907e-002 
1.130e+010    -9.819755e-001    1.744832e-002 
1.132e+010    -9.824640e-001    1.739162e-002 
1.134e+010    -9.828867e-001    1.731389e-002 
1.137e+010    -9.833305e-001    1.720645e-002 
1.139e+010    -9.837551e-001    1.709349e-002 
1.141e+010    -9.841464e-001    1.695832e-002 
1.143e+010    -9.844942e-001    1.679244e-002 
1.145e+010    -9.848548e-001    1.661673e-002 
1.148e+010    -9.852170e-001    1.645040e-002 
1.150e+010    -9.855400e-001    1.626882e-002 
1.152e+010    -9.858214e-001    1.604066e-002 
1.154e+010    -9.860813e-001    1.582078e-002 
1.156e+010    -9.863019e-001    1.561134e-002 
1.159e+010    -9.864598e-001    1.538140e-002 
1.161e+010    -9.865892e-001    1.508272e-002 
1.163e+010    -9.867544e-001    1.479407e-002 
1.165e+010    -9.868840e-001    1.450903e-002 
1.167e+010    -9.870074e-001    1.423501e-002 
1.170e+010    -9.870677e-001    1.396840e-002 
1.172e+010    -9.870907e-001    1.367174e-002 
1.174e+010    -9.870965e-001    1.336494e-002 
1.176e+010    -9.871049e-001    1.303565e-002 
1.178e+010    -9.870878e-001    1.270654e-002 
1.181e+010    -9.870868e-001    1.237073e-002 
1.183e+010    -9.870827e-001    1.207726e-002 
1.185e+010    -9.870650e-001    1.180581e-002 
1.187e+010    -9.869888e-001    1.155218e-002 
1.189e+010    -9.869133e-001    1.127534e-002 
1.192e+010    -9.868428e-001    1.101908e-002 
1.194e+010    -9.867865e-001    1.076597e-002 
1.196e+010    -9.867321e-001    1.052440e-002 
1.198e+010    -9.866910e-001    1.032078e-002 
1.200e+010    -9.866581e-001    1.015506e-002 
1.203e+010    -9.866237e-001    9.997166e-003 
1.205e+010    -9.865608e-001    9.869963e-003 
1.207e+010    -9.864961e-001    9.740563e-003 
1.209e+010    -9.864910e-001    9.621101e-003 
1.211e+010    -9.865137e-001    9.517853e-003 
