NO.	 Vo(V) 	  I(uA)
1	  230.0	  -47.5
2	  230.2	  -48.4
3	  230.4	  -49.0
4	  230.6	  -49.2
5	  230.8	  -49.4
6	  231.0	  -49.5
7	  231.2	  -49.5
8	  231.4	  -49.4
9	  231.6	  -49.4
10	  231.8	  -49.4
11	  232.0	  -49.3
12	  232.2	  -49.2
13	  232.4	  -49.1
14	  232.6	  -49.0
15	  232.8	  -48.9
16	  233.0	  -48.9
17	  233.2	  -48.7
18	  233.4	  -48.7
19	  233.6	  -48.6
20	  233.8	  -48.5
21	  234.0	  -48.4
22	  234.2	  -48.2
23	  234.4	  -48.2
24	  234.6	  -48.1
25	  234.8	  -48.1
26	  235.0	  -48.0
27	  235.2	  -47.9
28	  235.4	  -47.8
29	  235.6	  -47.7
30	  235.8	  -47.6
31	  236.0	  -47.6
32	  236.2	  -47.4
33	  236.4	  -47.4
34	  236.6	  -47.4
35	  236.8	  -47.3
36	  237.0	  -47.1
37	  237.2	  -47.0
38	  237.4	  -46.9
39	  237.6	  -46.8
40	  237.8	  -46.8
41	  238.0	  -46.7
42	  238.2	  -46.6
43	  238.4	  -46.5
44	  238.6	  -46.4
45	  238.8	  -46.3
46	  239.0	  -46.3
47	  239.2	  -46.2
48	  239.4	  -46.1
49	  239.6	  -46.0
50	  239.8	  -45.9
51	  240.0	  -45.8
52	  240.2	  -45.7
53	  240.4	  -45.6
54	  240.6	  -45.5
55	  240.8	  -45.4
56	  241.0	  -45.3
57	  241.2	  -45.2
58	  241.4	  -45.1
59	  241.6	  -45.0
60	  241.8	  -44.9
61	  242.0	  -44.8
62	  242.2	  -44.7
63	  242.4	  -44.6
64	  242.6	  -44.5
65	  242.8	  -44.4
66	  243.0	  -44.3
67	  243.2	  -44.3
68	  243.4	  -44.2
69	  243.6	  -44.1
70	  243.8	  -44.0
71	  244.0	  -43.9
72	  244.2	  -43.8
73	  244.4	  -43.7
74	  244.6	  -43.6
75	  244.8	  -43.5
76	  245.0	  -43.4
77	  245.2	  -43.4
78	  245.4	  -43.2
79	  245.6	  -43.2
80	  245.8	  -43.1
81	  246.0	  -42.9
82	  246.2	  -42.8
83	  246.4	  -42.7
84	  246.6	  -42.6
85	  246.8	  -42.5
86	  247.0	  -42.4
87	  247.2	  -42.3
88	  247.4	  -42.1
89	  247.6	  -42.1
90	  247.8	  -42.0
91	  248.0	  -41.9
92	  248.2	  -41.8
93	  248.4	  -41.6
94	  248.6	  -41.6
95	  248.8	  -41.3
96	  249.0	  -41.3
97	  249.2	  -41.1
98	  249.4	  -41.0
99	  249.6	  -40.9
100	  249.8	  -40.8
101	  250.0	  -40.6
102	  250.2	  -40.5
103	  250.4	  -40.5
104	  250.6	  -40.3
105	  250.8	  -40.2
106	  251.0	  -40.0
107	  251.2	  -39.9
108	  251.4	  -39.8
109	  251.6	  -39.7
110	  251.8	  -39.4
111	  252.0	  -39.3
112	  252.2	  -39.1
113	  252.4	  -39.0
114	  252.6	  -38.9
115	  252.8	  -38.7
116	  253.0	  -38.5
117	  253.2	  -38.3
118	  253.4	  -38.2
119	  253.6	  -38.1
120	  253.8	  -37.9
121	  254.0	  -37.8
122	  254.2	  -37.7
123	  254.4	  -37.4
124	  254.6	  -37.2
125	  254.8	  -37.2
126	  255.0	  -36.9
127	  255.2	  -36.8
128	  255.4	  -36.4
129	  255.6	  -36.3
130	  255.8	  -36.1
131	  256.0	  -35.8
132	  256.2	  -35.6
133	  256.4	  -35.2
134	  256.6	  -35.0
135	  256.8	  -34.7
136	  257.0	  -34.3
137	  257.2	  -33.9
138	  257.4	  -33.4
139	  257.6	  -33.1
140	  257.8	  -32.2
141	  258.0	  -31.6
142	  258.2	  -30.6
143	  258.4	  -30.2
144	  258.6	  -29.0
145	  258.8	  -27.9
146	  259.0	  -26.2
147	  259.2	  -24.6
148	  259.4	  -22.2
149	  259.6	  -19.8
150	  259.8	  -18.4
151	  260.0	  -15.8
152	  260.2	  -12.2
153	  260.4	   -8.6
154	  260.6	   -5.0
155	  260.8	    0.2
156	  261.0	    5.1
157	  261.2	   11.9
158	  261.4	   18.5
159	  261.6	   22.3
160	  261.8	   34.1
161	  262.0	   39.0
162	  262.2	   48.3
163	  262.4	   60.1
164	  262.6	   72.1
165	  262.8	   79.4
166	  263.0	   99.1
167	  263.2	  107.1
168	  263.4	  121.8
169	  263.6	  140.9
170	  263.8	  157.9
171	  264.0	  175.5
172	  264.2	  194.9
173	  264.4	  213.2
174	  264.6	  234.0
175	  264.8	  243.2
176	  265.0	  264.8
177	  265.2	  285.0
178	  265.4	-1501.1
179	  265.6	  321.2
180	  265.8	  358.4
181	  266.0	  370.5
182	  266.2	  408.4
183	  266.4	  419.8
184	  266.6	  447.9
185	  266.8	  474.7
186	  267.0	  504.0
187	  267.2	  531.1
188	  267.4	  555.8
189	  267.6	  571.0
190	  267.8	  598.2
191	  268.0	  628.6
192	  268.2	  655.5
193	  268.4	  672.2
194	  268.6	  715.0
195	  268.8	  731.8
196	  269.0	  776.3
197	  269.2	  793.9
198	  269.4	  841.9
199	  269.6	  857.4
200	  269.8	  888.4
201	  270.0	  921.6
202	  270.2	  953.4
203	  270.4	  987.5
204	  270.6	 1004.3
205	  270.8	 1035.1
206	  271.0	 1067.2
207	  271.2	 1098.0
208	  271.4	 1130.5
209	  271.6	 1147.0
210	  271.8	 1195.9
211	  272.0	 1213.5
212	  272.2	 1234.9
213	  272.4	 1234.9
214	  272.6	 1234.9
215	  272.8	 1234.9
216	  273.0	 1234.9
217	  273.2	 1234.9
218	  273.4	 1234.9
219	  273.6	 1234.9
220	  273.8	 1234.9
221	  274.0	 1234.9
222	  274.2	 1234.9
223	  274.4	 1234.9
224	  274.6	 1234.9
225	  274.8	 1234.9
226	  275.0	 1234.9
227	  275.2	 1234.9
228	  275.4	 1234.9
229	  275.6	 1234.9
230	  275.8	 1234.9
231	  276.0	 1234.9
232	  276.2	 1234.9
233	  276.4	 1234.9
234	  276.6	 1234.9
235	  276.8	 1234.9
