NO.	 Vo(V) 	  I(uA)
155	  260.8	    0.2
156	  261.0	    5.1
157	  261.2	   11.9
158	  261.4	   18.5
159	  261.6	   22.3
160	  261.8	   34.1
161	  262.0	   39.0
162	  262.2	   48.3
163	  262.4	   60.1
164	  262.6	   72.1
165	  262.8	   79.4
166	  263.0	   99.1
167	  263.2	  107.1
168	  263.4	  121.8
169	  263.6	  140.9
170	  263.8	  157.9
171	  264.0	  175.5
172	  264.2	  194.9
173	  264.4	  213.2
174	  264.6	  234.0
175	  264.8	  243.2
176	  265.0	  264.8
177	  265.2	  285.0
179	  265.6	  321.2
180	  265.8	  358.4
181	  266.0	  370.5
182	  266.2	  408.4
183	  266.4	  419.8
184	  266.6	  447.9
185	  266.8	  474.7
186	  267.0	  504.0
187	  267.2	  531.1
188	  267.4	  555.8
189	  267.6	  571.0
190	  267.8	  598.2
191	  268.0	  628.6
192	  268.2	  655.5
193	  268.4	  672.2
194	  268.6	  715.0
195	  268.8	  731.8
196	  269.0	  776.3
197	  269.2	  793.9
198	  269.4	  841.9
199	  269.6	  857.4
200	  269.8	  888.4
201	  270.0	  921.6
202	  270.2	  953.4
203	  270.4	  987.5
204	  270.6	 1004.3
205	  270.8	 1035.1
206	  271.0	 1067.2
207	  271.2	 1098.0
208	  271.4	 1130.5
209	  271.6	 1147.0
210	  271.8	 1195.9
211	  272.0	 1213.5
212	  272.2	 1234.9
