NO.	 Vo(V) 	  I(uA)
1	  -50.0	 -292.6
2	  -49.8	 -292.6
3	  -49.6	 -292.6
4	  -49.4	 -292.6
5	  -49.2	 -292.6
6	  -49.0	 -292.5
7	  -48.8	 -292.6
8	  -48.6	 -292.5
9	  -48.4	 -292.3
10	  -48.2	 -292.3
11	  -48.0	 -292.0
12	  -47.8	 -291.9
13	  -47.6	 -291.8
14	  -47.4	 -292.0
15	  -47.2	 -291.9
16	  -47.0	 -291.8
17	  -46.8	 -291.7
18	  -46.6	 -291.4
19	  -46.4	 -291.2
20	  -46.2	 -290.9
21	  -46.0	 -290.4
22	  -45.8	 -290.1
23	  -45.6	 -290.0
24	  -45.4	 -289.6
25	  -45.2	 -289.5
26	  -45.0	 -289.1
27	  -44.8	 -288.8
28	  -44.6	 -288.9
29	  -44.4	 -288.7
30	  -44.2	 -288.3
31	  -44.0	 -288.1
32	  -43.8	 -287.8
33	  -43.6	 -287.5
34	  -43.4	 -287.1
35	  -43.2	 -286.9
36	  -43.0	 -286.8
37	  -42.8	 -286.3
38	  -42.6	 -286.2
39	  -42.4	 -285.9
40	  -42.2	 -285.5
41	  -42.0	 -285.0
42	  -41.8	 -284.8
43	  -41.6	 -284.7
44	  -41.4	 -284.2
45	  -41.2	 -284.1
46	  -41.0	 -283.5
47	  -40.8	 -283.3
48	  -40.6	 -283.4
49	  -40.4	 -283.3
50	  -40.2	 -283.2
51	  -40.0	 -283.1
52	  -39.8	 -283.0
53	  -39.6	 -282.8
54	  -39.4	 -282.7
55	  -39.2	 -282.3
56	  -39.0	 -282.2
57	  -38.8	 -282.3
58	  -38.6	 -282.1
59	  -38.4	 -282.0
60	  -38.2	 -281.8
61	  -38.0	 -281.7
62	  -37.8	 -281.3
63	  -37.6	 -281.3
64	  -37.4	 -281.3
65	  -37.2	 -281.0
66	  -37.0	 -280.8
67	  -36.8	 -280.6
68	  -36.6	 -280.4
69	  -36.4	 -280.1
70	  -36.2	 -279.9
71	  -36.0	 -279.4
72	  -35.8	 -278.9
73	  -35.6	 -278.8
74	  -35.4	 -278.3
75	  -35.2	 -277.8
76	  -35.0	 -277.3
77	  -34.8	 -277.3
78	  -34.6	 -276.7
79	  -34.4	 -276.7
80	  -34.2	 -276.2
81	  -34.0	 -276.2
82	  -33.8	 -276.0
83	  -33.6	 -275.8
84	  -33.4	 -275.7
85	  -33.2	 -275.5
86	  -33.0	 -275.3
87	  -32.8	 -275.2
88	  -32.6	 -275.0
89	  -32.4	 -274.7
90	  -32.2	 -274.4
91	  -32.0	 -274.3
92	  -31.8	 -274.2
93	  -31.6	 -273.9
94	  -31.4	 -273.1
95	  -31.2	 -273.1
96	  -31.0	 -272.6
97	  -30.8	 -272.3
98	  -30.6	 -272.0
99	  -30.4	 -271.8
100	  -30.2	 -271.3
101	  -30.0	 -271.3
102	  -29.8	 -270.8
103	  -29.6	 -270.6
104	  -29.4	 -270.1
105	  -29.2	 -269.9
106	  -29.0	 -269.6
107	  -28.8	 -269.5
108	  -28.6	 -269.3
109	  -28.4	 -269.0
110	  -28.2	 -268.9
111	  -28.0	 -268.3
112	  -27.8	 -268.3
113	  -27.6	 -268.1
114	  -27.4	 -267.9
115	  -27.2	 -267.6
116	  -27.0	 -267.1
117	  -26.8	 -266.7
118	  -26.6	 -266.7
119	  -26.4	 -266.5
120	  -26.2	 -266.1
121	  -26.0	 -266.0
122	  -25.8	 -265.7
123	  -25.6	 -265.7
124	  -25.4	 -265.5
125	  -25.2	 -265.0
126	  -25.0	 -265.0
127	  -24.8	 -264.8
128	  -24.6	 -264.8
129	  -24.4	 -264.5
130	  -24.2	 -264.4
131	  -24.0	 -264.1
132	  -23.8	 -263.9
133	  -23.6	 -263.5
134	  -23.4	 -263.4
135	  -23.2	 -263.1
136	  -23.0	 -262.8
137	  -22.8	 -262.6
138	  -22.6	 -262.4
139	  -22.4	 -262.4
140	  -22.2	 -262.0
141	  -22.0	 -261.6
142	  -21.8	 -261.1
143	  -21.6	 -260.9
144	  -21.4	 -260.5
145	  -21.2	 -260.1
146	  -21.0	 -259.8
147	  -20.8	 -259.3
148	  -20.6	 -259.0
149	  -20.4	 -258.7
150	  -20.2	 -258.4
151	  -20.0	 -258.4
152	  -19.8	 -257.6
153	  -19.6	 -257.1
154	  -19.4	 -256.8
155	  -19.2	 -256.6
156	  -19.0	 -256.0
157	  -18.8	 -256.0
158	  -18.6	 -255.3
159	  -18.4	 -255.3
160	  -18.2	 -254.4
161	  -18.0	 -254.2
162	  -17.8	 -253.7
163	  -17.6	 -253.6
164	  -17.4	 -253.2
165	  -17.2	 -253.4
166	  -17.0	 -253.3
167	  -16.8	 -252.9
168	  -16.6	 -252.6
169	  -16.4	 -252.1
170	  -16.2	 -251.8
171	  -16.0	 -251.3
172	  -15.8	 -250.8
173	  -15.6	 -251.0
174	  -15.4	 -250.3
175	  -15.2	 -249.9
176	  -15.0	 -249.4
177	  -14.8	 -248.6
178	  -14.6	 -247.9
179	  -14.4	 -247.6
180	  -14.2	 -247.4
181	  -14.0	 -246.9
182	  -13.8	 -246.6
183	  -13.6	 -246.1
184	  -13.4	 -245.7
185	  -13.2	 -245.2
186	  -13.0	 -244.9
187	  -12.8	 -244.6
188	  -12.6	 -244.3
189	  -12.4	 -243.6
190	  -12.2	 -243.1
191	  -12.0	 -243.1
192	  -11.8	 -243.2
193	  -11.6	 -242.4
194	  -11.4	 -242.3
195	  -11.2	 -241.9
196	  -11.0	 -242.2
197	  -10.8	 -242.2
198	  -10.6	 -241.1
199	  -10.4	 -241.1
200	  -10.2	 -240.8
201	  -10.0	 -240.6
202	   -9.8	 -240.4
203	   -9.6	 -240.8
204	   -9.4	 -240.3
205	   -9.2	 -240.3
206	   -9.0	 -240.5
207	   -8.8	 -240.2
208	   -8.6	 -239.4
209	   -8.4	 -238.9
210	   -8.2	 -238.5
211	   -8.0	 -238.1
212	   -7.8	 -237.6
213	   -7.6	 -237.4
214	   -7.4	 -237.5
215	   -7.2	 -237.3
216	   -7.0	 -237.7
217	   -6.8	 -236.6
218	   -6.6	 -235.5
219	   -6.4	 -235.8
220	   -6.2	 -234.7
221	   -6.0	 -231.8
222	   -5.8	 -231.2
223	   -5.6	 -229.9
224	   -5.4	 -227.0
225	   -5.2	 -221.7
226	   -5.0	 -217.7
227	   -4.8	 -219.4
228	   -4.6	 -209.2
229	   -4.4	 -199.1
230	   -4.2	 -200.0
231	   -4.0	 -194.3
232	   -3.8	 -176.4
233	   -3.6	 -184.5
234	   -3.4	 -178.9
235	   -3.2	 -184.2
236	   -3.0	 -168.7
237	   -2.8	 -150.7
238	   -2.6	 -116.4
239	   -2.4	 -110.8
240	   -2.2	  -69.5
241	   -2.0	  -68.2
242	   -1.8	  -47.8
243	   -1.6	  -33.5
244	   -1.4	  -23.9
245	   -1.2	  -17.7
246	   -1.0	  -13.7
247	   -0.8	  -12.2
248	   -0.6	  -10.0
249	   -0.4	   -8.6
250	   -0.2	   -7.7
251	    0.0	   -7.3
252	    0.2	   -7.5
253	    0.4	   -5.3
254	    0.6	   -4.0
255	    0.8	   -3.5
256	    1.0	   -2.5
257	    1.2	   -2.4
258	    1.4	   -2.0
259	    1.6	   -1.9
260	    1.8	   -1.7
261	    2.0	   -1.6
262	    2.2	   -1.6
263	    2.4	    5.1
264	    2.6	    7.1
265	    2.8	   12.0
266	    3.0	   18.7
267	    3.2	   29.5
268	    3.4	   49.7
269	    3.6	   60.8
270	    3.8	   71.3
271	    4.0	   87.1
272	    4.2	  104.7
273	    4.4	  109.7
274	    4.6	  123.0
275	    4.8	  136.1
276	    5.0	  139.5
277	    5.2	  141.9
278	    5.4	  152.0
279	    5.6	  153.4
280	    5.8	  157.4
281	    6.0	  163.8
282	    6.2	  166.7
283	    6.4	  170.2
284	    6.6	  172.5
285	    6.8	  174.7
286	    7.0	  176.7
287	    7.2	  177.4
288	    7.4	  178.9
289	    7.6	  180.0
290	    7.8	  181.1
291	    8.0	  182.2
292	    8.2	  183.3
293	    8.4	  183.7
294	    8.6	  184.3
295	    8.8	  184.8
296	    9.0	  185.4
297	    9.2	  185.6
